_id,DEPARTAMENTO,REGION,POBLACION_2011,SUPERFICIE_KM2,CAPITAL
1,ARTIGAS,Norte,78019,11928,Artigas
2,CANELONES,Sur,520187,4536,Canelones
3,CERRO LARGO,Noreste,84698,13648,Melo
4,COLONIA,Suroeste,123203,6106,Colonia del Sacramento
5,DURAZNO,Centro,57088,11643,Durazno
6,FLORES,Centro,25050,5144,Trinidad
7,FLORIDA,Centro,67048,10417,Florida
8,LAVALLEJA,Este,58815,10016,Minas
9,MALDONADO,Este,164300,4793,Maldonado
10,MONTEVIDEO,Sur,1319108,530,Montevideo
11,PAYSANDÚ,Oeste,113124,13922,Paysandú
12,RÍO NEGRO,Oeste,54765,9282,Fray Bentos
13,RIVERA,Norte,103493,9370,Rivera
14,ROCHA,Este,68088,10551,Rocha
15,SALTO,Norte,124878,14163,Salto
16,SAN JOSÉ,Sur,108309,4992,San José de Mayo
17,SORIANO,Oeste,82595,9008,Mercedes
18,TACUAREMBÓ,Norte,90489,15438,Tacuarembó
19,TREINTA Y TRES,Este,48134,9529,Treinta y Tres
