_id,ARTIGAS,CANELONES,CERRO LARGO,COLONIA,DURAZNO,FLORES,FLORIDA,LAVALLEJA,MALDONADO,MONTEVIDEO,PAYSANDÚ,RÍO NEGRO,RIVERA,ROCHA,SALTO,SAN JOSÉ,SORIANO,TACUAREMBO,TREINTA Y TRES
1,,15,1,1,,1,2,1,11,10,7,3,3,2,,4,,6,1
2,,6,1,1,,,1,1,6,9,2,1,,,3,4,1,2,2
3,,8,2,3,,,1,2,5,12,1,1,3,1,4,3,,4,2
4,4,6,1,2,1,1,,1,5,11,,,2,3,1,5,7,,2
5,,12,2,2,1,,2,3,1,18,3,4,2,4,1,3,1,1,1
6,,6,1,2,2,,2,,2,15,6,,1,2,2,3,,1,1
7,,7,2,3,,,4,,2,16,5,1,,,4,3,,2,
8,,5,1,5,,1,1,1,3,9,2,1,1,1,3,1,,,
9,1,6,1,,1,1,3,1,3,8,2,,,2,,2,1,3,1
10,3,5,1,1,2,,3,2,1,8,1,,1,1,2,1,1,3,
11,1,14,1,3,3,,,1,6,13,1,,2,2,1,2,1,2,
12,3,6,2,3,,,,2,3,10,2,1,2,1,4,2,1,2,
